25 20
#############
#...........#    ########
#...s...s...######......#
#.......................#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.....b.#      #......#
  #.......#      #......#
  #...b...#      #......#
  #.......#      #......#
  #.......#      #......#
  #########       ######
